Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C49.Bu1    C1210-Stacked-6.15     32.0071mm      7.2992mm     32.0071mm      7.2992mm     32.0071mm      5.9493mm  T         90.00 Cap Semi       
C48.Bu3    C1210-Stacked-6.15          32mm        26.5mm          32mm        26.5mm          32mm       25.15mm  T         90.00 100V           
C48.Bu2    C1210-Stacked-6.15          32mm          14mm          32mm          14mm          32mm       12.65mm  T         90.00 100V           
C48.Bu1    C1210-Stacked-6.15          32mm         1.5mm          32mm         1.5mm          32mm        0.15mm  T         90.00 100V           
C47.Bu3    0402                   40.5mm        25.5mm        40.5mm        25.5mm        40.5mm          26mm  B        270.00 Cap Semi       
C47.Bu2    0402                   40.5mm          13mm        40.5mm          13mm        40.5mm        13.5mm  B        270.00 Cap Semi       
C47.Bu1    0402                   40.5mm         0.5mm        40.5mm         0.5mm        40.5mm           1mm  B        270.00 Cap Semi       
C23.Bu3    0402                38.9571mm     27.8992mm     38.9571mm     27.8992mm     38.9571mm     27.3992mm  B         90.00 Cap Semi       
C23.Bu2    0402                38.9571mm     15.3993mm     38.9571mm     15.3993mm     38.9571mm     14.8993mm  B         90.00 Cap Semi       
C23.Bu1    0402                38.9571mm      2.8992mm     38.9571mm      2.8992mm     38.9571mm      2.3992mm  B         90.00 Cap Semi       
C22.Bu3    0402                     46mm        26.5mm          46mm        26.5mm          46mm          26mm  B         90.00 Cap Semi       
C22.Bu2    0402                     46mm          14mm          46mm          14mm          46mm        13.5mm  B         90.00 Cap Semi       
C22.Bu1    0402                     46mm         1.5mm          46mm         1.5mm          46mm           1mm  B         90.00 Cap Semi       
C21.Bu3    0402                   42.5mm        25.5mm        42.5mm        25.5mm        42.5mm          26mm  B        270.00 Cap Semi       
C21.Bu2    0402                   42.5mm          13mm        42.5mm          13mm        42.5mm        13.5mm  B        270.00 Cap Semi       
C21.Bu1    0402                   42.5mm         0.5mm        42.5mm         0.5mm        42.5mm           1mm  B        270.00 Cap Semi       
