Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C22.Bu1    0402              1811.024mil     59.055mil   1811.024mil     59.055mil   1811.024mil      39.37mil  B         90.00 Cap Semi       
C21.Bu3    0402              1673.228mil   1003.937mil   1673.228mil   1003.937mil   1673.228mil   1023.622mil  B        270.00 Cap Semi       
C21.Bu2    0402              1673.228mil    511.811mil   1673.228mil    511.811mil   1673.228mil    531.496mil  B        270.00 Cap Semi       
C21.Bu1    0402              1673.228mil     19.685mil   1673.228mil     19.685mil   1673.228mil      39.37mil  B        270.00 Cap Semi       
C20.Bu3    C1206             1456.693mil   1141.732mil   1456.693mil   1141.732mil   1456.693mil   1088.583mil  B         90.00 Cap Semi       
C20.Bu2    C1206             1456.693mil    649.606mil   1456.693mil    649.606mil   1456.693mil    596.457mil  B         90.00 Cap Semi       
C20.Bu1    C1206             1456.693mil     157.48mil   1456.693mil     157.48mil   1456.693mil    104.331mil  B         90.00 Cap Semi       
C19.Bu3    C1206             1751.968mil   1320.866mil   1751.968mil   1320.866mil   1805.118mil   1320.866mil  B        180.00 Cap Semi       
C19.Bu2    C1206             1751.968mil     828.74mil   1751.968mil     828.74mil   1805.118mil     828.74mil  B        180.00 Cap Semi       
C19.Bu1    C1206             1751.968mil    336.614mil   1751.968mil    336.614mil   1805.118mil    336.614mil  B        180.00 Cap Semi       
C18        0402              1215.551mil    497.047mil   1215.551mil    497.047mil   1235.236mil    497.047mil  B        180.00 Cap Semi       
C17        0402              1216.535mil     664.37mil   1216.535mil     664.37mil   1196.851mil     664.37mil  B        360.00 Cap Semi       
C16        0402              1257.874mil    808.071mil   1257.874mil    808.071mil   1238.189mil    808.071mil  B        360.00 Cap Semi       
C13        0402               623.032mil    237.205mil    623.032mil    237.205mil    603.346mil    237.205mil  B          0.00 Cap Semi       
C12.Bu3    0402              1533.745mil   1174.183mil   1533.745mil   1174.183mil   1533.745mil   1193.868mil  B        270.00 Cap Semi       
C12.Bu2    0402              1533.745mil    682.057mil   1533.745mil    682.057mil   1533.745mil    701.742mil  B        270.00 Cap Semi       
C12.Bu1    0402              1533.745mil    189.931mil   1533.745mil    189.931mil   1533.745mil    209.616mil  B        270.00 Cap Semi       
C10        0402               174.213mil    -42.323mil    174.213mil    -42.323mil    154.528mil    -42.323mil  B        360.00 Cap Semi       
C9.P9      0402               505.905mil   1149.606mil    505.905mil   1149.606mil    505.905mil   1169.291mil  T        270.00 Cap Semi       
C9.P8      0402               761.811mil   1149.606mil    761.811mil   1149.606mil    761.811mil   1169.291mil  T        270.00 Cap Semi       
C9.P7      0402              1037.401mil   1149.606mil   1037.401mil   1149.606mil   1037.401mil   1169.291mil  T        270.00 Cap Semi       
